      
  S                    XI(S)                   
    
  0.1                  585.9913709288955       
  0.10974987654930562  585.9471515422227       
  0.12045035402587821  585.8929494140198       
  0.1321941148466029   585.8277155579023       
  0.14508287784959398  585.7502510808794       
  0.1592282793341092   585.659186582183        
  0.17475284000076838  585.5529589964193       
  0.19179102616724888  585.4297856093596       
  0.2104904144512021   585.3179014004589       
  0.23101297000831597  585.192354868378        
  0.2535364493970112   585.0430620988519       
  0.2782559402207124   584.8670364030016       
  0.30538555088334157  584.6608900436995       
  0.33516026509388425  584.4207860082375       
  0.36783797718286343  584.1423854317396       
  0.40370172585965547  583.8207906207293       
  0.4430621457583881   583.4504837956896       
  0.4862601580065355   583.0252618111479       
  0.533669923120631    582.5381673258561       
  0.5857020818056667   581.9814171655498       
  0.6428073117284322   581.3624129228506       
  0.7054802310718644   580.6771120909711       
  0.7742636826811272   579.8932762183961       
  0.8497534359086445   578.9990883941056       
  0.9326033468832199   577.9815565879087       
  1.0235310218990263   576.8264628768568       
  1.1233240329780276   575.5183271549768       
  1.2328467394420666   574.0403898966612       
  1.3530477745798075   572.3746182706843       
  1.484968262254465    570.501738038727        
  1.6297508346206444   568.4013030822871       
  1.7886495290574351   566.0517952965092       
  1.9630406500402715   563.4326994587364       
  2.1544346900318843   560.5543336265528       
  2.3644894126454084   557.3574012380941       
  2.5950242113997373   553.8175754618103       
  2.848035868435802    549.9102255518529       
  3.1257158496882367   545.6105057270514       
  3.4304692863149193   540.8933645259991       
  3.764935806792469    535.7334631816852       
  4.132012400115339    530.1050232236325       
  4.5348785081285845   523.9816744372159       
  4.977023564332112    517.33644072279         
  5.462277217684343    510.14205977870995      
  5.994842503189412    502.3718363592701       
  6.5793322465756825   494.02544467864027      
  7.220809018385467    485.0691561997208       
  7.924828983539178    475.47610149164905      
  8.697490026177835    465.23727377932283      
  9.545484566618342    454.34894254344005      
  10.476157527896651   442.81093074280363      
  11.497569953977369   430.6263070085164       
  12.61856883066021    417.80422107834386      
  13.848863713938732   404.36386311124073      
  15.199110829529348   390.3343660189942       
  16.68100537200059    375.75051764163686      
  18.307382802953697   360.6529383825213       
  20.09233002565048    345.1026856398707       
  22.051307399030456   329.1714375245908       
  24.201282647943835   312.9026587354069       
  26.560877829466868   296.3714561286827       
  29.150530628251786   279.6580912851877       
  31.992671377973846   262.8490516291954       
  35.111917342151344   246.0349744391567       
  38.535285937105314   229.3100394918654       
  42.29242874389499    212.76964789486308      
  46.41588833612782    196.50978419543435      
  50.9413801481638     180.624868759987        
  55.90810182512229    165.20615583752823      
  61.35907273413176    150.34030568277956      
  67.34150657750828    136.12411171050476      
  73.90722033525783    122.61593341757465      
  81.11308307896873    109.8871924059079       
  89.02150854450393    98.00389995434602       
  97.70099572992257    86.91393111801372       
  107.22672220103243   76.25771832781604       
  117.68119524349991   65.94469664998925       
  129.1549665014884    56.3695886764364        
  141.7474162926806    47.94844611359466       
  155.56761439304722   40.91531553974732       
  170.7352647470692    34.529895863712326      
  187.3817422860385    28.855262082673722      
  205.65123083486534   23.913812408705663      
  225.70197196339214   19.66301376327591       
  247.70763559917114   16.046146133510103      
  271.85882427329426   13.02574340844748       
  298.364724028334     10.563338877412916      
  327.4549162877732    8.61619222179988        
  359.3813663804629    6.911811037975183       
  394.420605943766     5.397951967694511       
  432.87612810830615   4.099446024249167       
  475.0810162102798    3.0139710086476037      
  521.400828799969     2.1320003119411903      
  572.236765935022     1.4288058491056619      
  628.029144183426     0.886111934418242       
  689.2612104349702    0.5069703025089687      
  756.463327554629     0.2653244700511553      
  830.2175681319752    0.11453121165830035     
  911.1627561154896    0.032023849273534286    
  1000.0               0.00017166343623444328  
