      
  K                      P(K)                    
    
  0.0008562776603139261  418.24907458036284      
  0.0009397636751138159  416.66529674233533      
  0.0010313894732926299  414.7673980500551       
  0.0011319486736811955  412.4955610803628       
  0.0012423122719666137  409.7794625918755       
  0.0013634361848402317  406.5372939644389       
  0.0014963695296907173  402.6741717447823       
  0.0016422637115569867  398.0814892201901       
  0.0018023823960478383  392.63591173368604      
  0.0019781124546089184  386.19993033773136      
  0.0021709759769397256  378.6227051365364       
  0.002382643454606432   369.7435512053249       
  0.0026149482500406685  359.3969239548018       
  0.002869902476247863   347.42171274778144      
  0.0031497144247674934  333.6737329571138       
  0.0034568076928379967  318.0443529754283       
  0.0037938421754365997  300.4834477252782       
  0.004163737104017157   281.0284415295753       
  0.004569696331496465   259.8348181121595       
  0.005015236082495515   237.2058082304275       
  0.005504215409195062   213.61043722961605      
  0.0060408696165994355  189.68109048539657      
  0.006629846946722396   166.1743426225498       
  0.007276248839435732   143.88802302263426      
  0.007985674118700995   123.53300307377916      
  0.008764267486904197   105.58792475125816      
  0.00961877274732828    90.18622001253544       
  0.010556591215751046   77.10854903628154       
  0.011585845827101609   65.91667530457335       
  0.012715451492436886   56.18377620481535       
  0.013955192315636328   47.656583302352914      
  0.015315806338629046   40.20777308941042       
  0.016809078549176112   33.65404355662207       
  0.018447942956796585   27.766820244801544      
  0.020246594620970587   22.517367657856045      
  0.022220612601953557   18.05913798143208       
  0.024387094899143466   14.340513144843072      
  0.026764806545771975   11.226895958301926      
  0.0293743421426452     8.756038484379548       
  0.03223830423872377    6.846146423212925       
  0.035381499103588884   5.37239546416052        
  0.038831151587482494   4.151012737759507       
  0.04261714092993575    3.14632277370643        
  0.04677225955944806    2.3526750926959124      
  0.051332497125815064   1.7739861351649788      
  0.05633735222525786    1.3669918774017482      
  0.06183017451836802    1.053186613284277       
  0.06785854020412908    0.8045995270853842      
  0.07447466410219256    0.6202658393495466      
  0.0817358519126664     0.46072959793518864     
  0.08970499657067464    0.31777669332413416     
  0.09845112299487424    0.21694190759200183     
  0.10804998594827947    0.15419275400057686     
  0.11858472618977879    0.12280928073129119     
  0.1301465905996143     0.09278945950499658     
  0.1428357225162069     0.061752783927427175    
  0.1567620291298458     0.04256849983591392     
  0.1720461334461923     0.03183821675502072     
  0.18882041906504954    0.021605937743104025    
  0.20723017682377343    0.0162860767089323      
  0.22743486323699907    0.010412656232951553    
  0.24960948163268856    0.007761000022439052    
  0.2739460979472374     0.005264749050103545    
  0.3006555043087329     0.0036544432747720964   
  0.3299690448175264     0.002518511774453841    
  0.36214061933815817    0.0017328807310319173   
  0.3974488826585194     0.0011897107522992906   
  0.4361996580643196     0.0008122216682613405   
  0.478728586234084      0.0005591964550226294   
  0.5254040323981433     0.0003813495074644655   
  0.576630276942036      0.0002601276354985826   
  0.6328510170898033     0.0001757114587448504   
  0.694553209997084      0.00011797283930300892  
  0.7622712905410393     7.980329322075869e-05   
  0.8365918003395894     5.407703847199805e-05   
  0.9181584680943127     3.6316326948323906e-05  
  1.0076777852605034     2.371347736126851e-05   
  1.1059251253381794     1.591008041783305e-05   
  1.2137514597864054     1.059594281566714e-05   
  1.3320907287309747     6.753575905248913e-06   
  1.4619679303069901     4.531979833534686e-06   
  1.6045079987023603     2.9934478732945035e-06  
  1.760945547799574      1.9922356879954193e-06  
  1.9326355648105262     1.2959345481340317e-06  
  2.121065146527528      8.087184365562012e-07   
  2.3278663798443096     5.225311266207571e-07   
  2.5548304781119198     3.5008240078216906e-07  
  2.8039232957718663     2.400563190851567e-07   
  3.077302355646845      1.3717551062434836e-07  
  3.377335536371285      8.081463815253427e-08   
  3.7066215818233146     5.5048160876361214e-08  
  4.068012610201006      3.516732835984362e-08   
  4.464638817705788      2.028703868476226e-08   
  4.899935590804482      2.0323906681435657e-08  
  5.377673261903408      1.2227413207584282e-08  
  5.901989766164005      1.0283976952864839e-08  
  6.477426482317647      4.646594085446307e-09   
  7.108967567915647      2.9790227602309987e-09  
  7.8020831297175945     1.8233547133449342e-09  
  8.56277660313926       2.204485986922375e-09   
