                
  Z                     H [1/MPC]               COMOV. DIST.        ANG.DIAM.DIST.          LUM. DIST.              GR.FAC. D               GR.FAC. F             
  74085423223704.47     1.184158789635893e+22   13895.564132077961  1.8756137884397926e-10  1.0294587496571373e+18  3.252753286836325e-06   3.3338735245648055    
  73570430212218.89     1.167753027354781e+22   13895.564132077916  1.888743084958866e-10   1.0223026312384641e+18  3.3283987121114926e-06  3.2581036717338314    
  73059017092570.86     1.1515745564119437e+22  13895.564132077872  1.901964286553573e-10   1.0151962574364058e+18  3.40404413738666e-06    3.185701367917575     
  72551158979712.81     1.1356202278313337e+22  13895.564132077829  1.9152780365594431e-10  1.0081392824591876e+18  3.479689562661827e-06   3.1164469903542065    
  72046831161581.69     1.1198869362639525e+22  13895.564132077783  1.9286849828153542e-10  1.0011313629187523e+18  3.5553349879369934e-06  3.0501396075807765    
  71546009097896.36     1.1043716193834244e+22  13895.564132077738  1.9421857776950565e-10  9.9417215781405e+17     3.6309804132121593e-06  2.9865950324229145    
  71048668418963.56     1.0890712572899464e+22  13895.564132077694  1.955781078138917e-10   9.872613285144452e+17   3.7066258384873257e-06  2.9256441133939513    
  70554784924492.06     1.0739828719224942e+22  13895.564132077647  1.9694715456858842e-10  9.803985387432385e+17   3.782271263762493e-06   2.8671312311261543    
  70064334582415.11     1.059103526479174e+22   13895.564132077601  1.9832578465056799e-10  9.735834545613056e+17   3.85791668903766e-06    2.810912971692397     
  69577293527721.016    1.0444303248456027e+22  13895.564132077556  1.9971406514312144e-10  9.66815744350846e+17    3.933562114312827e-06   2.7568569530060985    
  69093638061291.92     1.0299604110312087e+22  13895.564132077508  2.0111206359912273e-10  9.600950787992472e+17   4.009207539587997e-06   2.704840784081554     
  68613344648750.62     1.015690968613342e+22   13895.564132077461  2.0251984804431603e-10  9.53421130883062e+17    4.084852964863167e-06   2.6547511399320007    
  68136389919315.36     1.0016192201890862e+22  13895.564132077414  2.0393748698062567e-10  9.467935758520934e+17   4.1604983901383405e-06  2.6064829373878933    
  67662750664662.68     9.877424268346657e+21   13895.564132077367  2.0536504938948946e-10  9.402120912135946e+17   4.236143815413515e-06   2.5599385992203674    
  67192403837798.04     9.7405788757234e+21     13895.56413207732   2.0680260473521532e-10  9.336763567165747e+17   4.311789240688693e-06   2.5150273957253946    
  66725326551934.445    9.605629388446878e+21   13895.56413207727   2.0825022296836123e-10  9.271860543362173e+17   4.387434665963872e-06   2.47166485441991      
  66261496079378.74     9.472549539961712e+21   13895.564132077221  2.0970797452913917e-10  9.207408682584046e+17   4.463080091239055e-06   2.4297722297688567    
  65800889850425.71     9.341313427618841e+21   13895.564132077172  2.1117593035084253e-10  9.143404848643502e+17   4.538725516514242e-06   2.389276025939511     
  65343485452259.836    9.211895507633826e+21   13895.564132077123  2.1265416186329783e-10  9.07984592715339e+17    4.614370941789433e-06   2.350107566498021     
  64889260627864.73     9.08427059011502e+21    13895.564132077074  2.1414274099634032e-10  9.016728825375721e+17   4.690016367064627e-06   2.3122026057481984    
  64438193274940.1      8.958413834160607e+21   13895.564132077025  2.1564174018331407e-10  8.954050472071185e+17   4.765661792339825e-06   2.275500977085679     
  63990261444826.266    8.834300743023566e+21   13895.564132076974  2.1715123236459661e-10  8.891807817349699e+17   4.841307217615028e-06   2.239946274318871     
  63545443341436.164    8.711907159343632e+21   13895.564132076923  2.1867129099114814e-10  8.829997832522006e+17   4.916952642890236e-06   2.205485562406433     
  63103717320194.75     8.591209260445311e+21   13895.564132076872  2.2020199002808552e-10  8.768617509952301e+17   4.99259806816545e-06    2.1720691144913484    
  62665061886985.8      8.472183553701026e+21   13895.56413207682   2.2174340395828146e-10  8.70766386291188e+17    5.068243493440668e-06   2.1396501724841848    
  62229455697106.01     8.354806871958531e+21   13895.564132076768  2.2329560778598872e-10  8.647133925433805e+17   5.143888918715893e-06   2.108184728771357     
  61796877554226.37     8.239056369031645e+21   13895.564132076717  2.2485867704049e-10     8.587024752168586e+17   5.219534343991124e-06   2.077631326905284     
  61367306409360.79     8.124909515253476e+21   13895.564132076664  2.2643268777977274e-10  8.52733341824086e+17    5.295179769266362e-06   2.0479508793782495    
  60940721359841.85     8.012344093091254e+21   13895.564132076612  2.2801771659423043e-10  8.468057019107073e+17   5.370825194541606e-06   2.0191065007956457    
  60517101648303.67     7.901338192821903e+21   13895.564132076557  2.296138406103893e-10   8.409192670414135e+17   5.446470619816859e-06   1.9910633549514543    
  60096426661671.91     7.791870208267544e+21   13895.564132076504  2.3122113749466138e-10  8.350737507859082e+17   5.52211604509212e-06    1.9637885144728644    
  59678675930160.734    7.683918832590069e+21   13895.56413207645   2.3283968545712326e-10  8.292688687049696e+17   5.597761470367389e-06   1.9372508318450536    
